Block	chr1	start1	end1	strand1	chr2	start2	end2	strand2
1571	A1	1	661481	+	chr11	3728601	4390081	-
1614	A1	661481	1250887	+	chr11	71842503	72431909	+
1617	A1	1250887	1995011	+	chr11	74291295	75035419	+
1616	A1	1995011	3104226	+	chr11	73112623	74221838	-
1615	A1	3104226	3455510	+	chr11	72761339	73112623	-
1618	A1	3455510	4686949	+	chr11	75516841	76748280	+
1619	A1	4686949	5006163	+	chr11	76748280	77067494	+
1620	A1	5006163	5723451	+	chr11	77433953	78151241	+
1621	A1	5723451	8325592	+	chr11	78151241	80753382	+
1622	A1	8325592	10200942	+	chr11	80753382	82628732	+
1623	A1	10200942	12106750	+	chr11	82628732	84534540	+
1624	A1	12106750	12668571	+	chr11	84534540	85096361	+
1625	A1	12668571	13729723	+	chr11	85171836	86232988	+
1626	A1	13729723	14833419	+	chr11	87665745	88769441	+
1627	A1	14833419	15613880	+	chr11	88769441	89549902	+
1628	A1	15613880	16200003	+	chr11	89833012	90419135	+
1629	A1	16200003	17750357	+	chr11	90419135	91969489	+
1630	A1	17750357	18832533	+	chr11	91969489	93051665	+
1631	A1	18832533	19445825	+	chr11	93193401	93806693	+
1632	A1	19445825	19748948	+	chr11	93806693	94109816	+
1633	A1	19748948	20149095	+	chr11	94109816	94509963	+
1634	A1	20149095	20598497	+	chr11	94543453	94992855	+
1635	A1	20598497	21243924	+	chr11	95055282	95700709	+
1636	A1	21243924	23396864	+	chr11	95735293	97888233	+
1637	A1	23396864	25999565	+	chr11	98850727	101453428	+
1638	A1	25999565	26334727	+	chr11	101882280	102217442	+
1639	A1	26334727	26665040	+	chr11	102219848	102550161	+
1640	A1	26665040	26965320	+	chr11	102808730	103109010	+
1641	A1	26965320	28243891	+	chr11	103109010	104387581	+
1642	A1	28243891	29163972	+	chr11	105193074	106113155	+
1643	A1	29163972	29948087	+	chr11	106321362	107105477	+
1644	A1	29948087	30750173	+	chr11	107581113	108383199	+
1645	A1	30750173	31263374	+	chr11	108383199	108896400	+
1646	A1	31263374	32592179	+	chr11	109468580	110797385	+
162	A1	32592179	33708831	+	chr13	19268715	20385367	+
163	A1	33708831	34765078	+	chr13	20637670	21693917	+
164	A1	34765078	35250380	+	chr13	22190216	22675518	+
165	A1	35250380	35706900	+	chr13	22675518	23132038	+
166	A1	35706900	36255777	+	chr13	25393436	25942313	+
167	A1	36255777	40420440	+	chr13	26150604	30315267	+
168	A1	40420440	41758104	+	chr13	30315267	31652931	+
169	A1	41758104	43107554	+	chr13	31652931	33002381	+
170	A1	43107554	45684610	+	chr13	33002381	35579437	+
171	A1	45684610	45986715	+	chr13	36527577	36829682	+
172	A1	45986715	46307267	+	chr13	36829682	37150234	+
173	A1	46307267	46997545	+	chr13	37311844	38002122	+
174	A1	46997545	47565917	+	chr13	38290077	38858449	+
175	A1	47565917	48754637	+	chr13	38901738	40090458	+
185	A1	48754637	49118267	+	chr13	48457685	48821315	-
184	A1	49118267	49489673	+	chr13	47438771	47810177	-
183	A1	49489673	50789979	+	chr13	45718852	47019158	-
182	A1	50789979	51924727	+	chr13	44008983	45143731	-
181	A1	51924727	52889293	+	chr13	43044085	44008651	-
180	A1	52889293	53211478	+	chr13	42721900	43044085	-
179	A1	53211478	54277737	+	chr13	41655641	42721900	-
178	A1	54277737	55051809	+	chr13	40881569	41655641	-
177	A1	55051809	55425574	+	chr13	40505930	40879695	-
176	A1	55425574	55829737	+	chr13	40101767	40505930	-
186	A1	55829737	56839981	+	chr13	51855915	52866159	+
187	A1	56839981	58033700	+	chr13	52866159	54059878	+
188	A1	58033700	58683948	+	chr13	54059878	54710126	+
189	A1	58683948	59127652	+	chr13	55047951	55491655	+
190	A1	59127652	60165981	+	chr13	55491655	56529984	+
191	A1	60165981	61562746	+	chr13	56535158	57931923	+
192	A1	61562746	63303633	+	chr13	57931923	59672810	+
193	A1	63303633	64545829	+	chr13	59672810	60915006	+
194	A1	64545829	64903026	+	chr13	60915006	61272203	+
195	A1	64903026	66653690	+	chr13	61432984	63183648	+
196	A1	66653690	68021911	+	chr13	63259017	64627238	+
197	A1	68021911	72407446	+	chr13	64696479	69082014	+
198	A1	72407446	73100136	+	chr13	69082014	69774704	+
199	A1	73100136	75198754	+	chr13	69774704	71873322	+
200	A1	75198754	76727840	+	chr13	71873322	73402408	+
201	A1	76727840	78920031	+	chr13	73402408	75594599	+
202	A1	78920031	80030340	+	chr13	75594599	76704908	+
203	A1	80030340	80338053	+	chr13	76704908	77012621	+
204	A1	80338053	82009379	+	chr13	77012621	78683947	+
205	A1	82009379	84465462	+	chr13	78683947	81140030	+
206	A1	84465462	85302256	+	chr13	81898871	82735665	+
207	A1	85302256	86314951	+	chr13	82735665	83748360	+
208	A1	86314951	86843428	+	chr13	83748360	84276837	+
209	A1	86843428	87915252	+	chr13	86315627	87387451	+
210	A1	87915252	88849127	+	chr13	88153966	89087841	+
211	A1	88849127	92502817	+	chr13	89287880	92941570	+
212	A1	92502817	94191432	+	chr13	92941570	94630185	+
213	A1	94191432	96583297	+	chr13	94630185	97022050	+
214	A1	96583297	97949357	+	chr13	97022050	98388110	+
215	A1	97949357	101470714	+	chr13	98388110	101909467	+
216	A1	101470714	102862076	+	chr13	102633326	104024688	+
217	A1	102862076	103758052	+	chr13	104332050	105228026	+
218	A1	103758052	105848945	+	chr13	105228026	107318919	+
219	A1	105848945	108058920	+	chr13	107612525	109822500	+
220	A1	108058920	109922093	+	chr13	109822500	111685673	+
221	A1	109922093	110773717	+	chr13	111786282	112637906	+
222	A1	110773717	111092211	+	chr13	112637906	112956400	+
223	A1	111092211	111583826	+	chr13	113067858	113559473	+
874	A1	111583826	112044823	+	chr2	109712815	110173812	-
873	A1	112044823	112698085	+	chr2	108983140	109636402	-
872	A1	112698085	113067161	+	chr2	108336819	108705895	-
871	A1	113067161	113680243	+	chr2	107674319	108287401	-
870	A1	113680243	114260429	+	chr2	105968293	106548479	-
